date,country,confirmed,cases_per_million,recovered,deaths,new_confirmed,new_cases_per_million,new_deaths,new_recovered
2020-05-27,Montserrat,11.0,,10.0,1.0,0.0,,0.0,0.0
2020-05-27,Suriname,11.0,19.0,9.0,1.0,0.0,0.0,0.0,0.0
2020-05-27,Seychelles,11.0,113.0,11.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,British Virgin Islands,8.0,266.0,6.0,1.0,0.0,0.0,0.0,0.0
2020-05-27,Papua New Guinea,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Caribbean Netherlands,6.0,242.0,,0.0,0.0,0.0,0.0,
2020-05-27,Saint Barthélemy,6.0,,,,0.0,,,
2020-05-27,Anguilla,3.0,202.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Saint Pierre and Miquelon,1.0,,,,0.0,,,
2020-05-27,Guernsey,,,,,,,,
2020-05-27,Bouvet Island,,,,,,,,
2020-05-27,British Indian Ocean Territory,,,,,,,,
2020-05-27,Turkmenistan,,,,,,,,
2020-05-27,Svalbard and Jan Mayen,,,,,,,,
2020-05-27,Comoros,,,,,,,,
2020-05-27,Solomon Islands,,,,,,,,
2020-05-27,Christmas Island,,,,,,,,
2020-05-27,Cocos (Keeling) Islands,,,,,,,,
2020-05-27,Cook Islands,,,,,,,,
2020-05-27,French Southern and Antarctic Lands,,,,,,,,
2020-05-27,Federated States of Micronesia,,,,,,,,
2020-05-27,Heard Island and McDonald Islands,,,,,,,,
2020-05-27,Kiribati,,,,,,,,
2020-05-27,Lesotho,,,,,,,,
2020-05-27,Marshall Islands,,,,,,,,
2020-05-27,Niue,,,,,,,,
2020-05-27,North Korea,,,,,,,,
2020-05-27,Nauru,,,,,,,,
2020-05-27,Norfolk Island,,,,,,,,
2020-05-27,Palau,,,,,,,,
2020-05-27,Pitcairn Islands,,,,,,,,
2020-05-27,Samoa,,,,,,,,
2020-05-27,South Georgia and the South Sandwich Islands,,,,,,,,
2020-05-27,Antarctica,,,,,,,,
2020-05-27,Tokelau,,,,,,,,
2020-05-27,Tonga,,,,,,,,
2020-05-27,Turks and Caicos Islands,,,,,,,,
2020-05-27,Tuvalu,,,,,,,,
2020-05-27,United States Minor Outlying Islands,,,,,,,,
2020-05-27,Vanuatu,,,,,,,,
2020-05-27,"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,
2020-05-27,Wallis and Futuna,,,,,,,,
2020-05-27,Western Sahara,,,,,,,,
2020-05-27,Réunion,,,,,,,,
