LastUpdate,CountryCode,Country,Confirmed,Deaths,Recovered,NewConfirmed,NewDeaths,NewRecovered
02/11/2020,RU,Russian Federation,2,0,0,0,0,0
02/11/2020,SG,Singapore,45,0,0,2,0,0
02/11/2020,ES,Spain,2,0,0,0,0,0
02/11/2020,LK,Sri Lanka,1,0,0,0,0,0
02/11/2020,SE,Sweden,1,0,0,0,0,0
02/11/2020,TH,Thailand,33,0,0,1,0,0
02/11/2020,GB,The United Kingdom,8,0,0,4,0,0
02/11/2020,AE,United Arab Emirates,8,0,0,1,0,0
02/11/2020,US,United States of America,13,0,0,1,0,0
02/11/2020,VN,Viet0m,15,0,0,1,0,0
02/12/2020,AU,Australia,15,0,0,0,0,0
02/12/2020,BE,Belgium,1,0,0,0,0,0
02/12/2020,KH,Cambodia,1,0,0,0,0,0
02/12/2020,CA,Ca0da,7,0,0,0,0,0
02/12/2020,CN,China,44730,1114,0,2022,97,0
02/12/2020,FI,Finland,1,0,0,0,0,0
02/12/2020,FR,France,11,0,0,0,0,0
02/12/2020,DE,Germany,16,0,0,2,0,0
02/12/2020,IN,India,3,0,0,0,0,0
02/12/2020,Ship,Inter0tio0l conveyance (Japan),175,0,0,40,0,0
02/12/2020,IT,Italy,3,0,0,0,0,0
02/12/2020,JP,Japan,28,0,0,2,0,0
02/12/2020,MY,Malaysia,18,0,0,0,0,0
02/12/2020,NP,Nepal,1,0,0,0,0,0
02/12/2020,PH,Philippines,3,1,0,0,0,0
02/12/2020,KR,Republic of Korea,28,0,0,0,0,0
02/12/2020,RU,Russian Federation,2,0,0,0,0,0
02/12/2020,SG,Singapore,47,0,0,2,0,0
02/12/2020,ES,Spain,2,0,0,0,0,0
02/12/2020,LK,Sri Lanka,1,0,0,0,0,0
02/12/2020,SE,Sweden,1,0,0,0,0,0
02/12/2020,TH,Thailand,33,0,0,0,0,0
02/12/2020,GB,The United Kingdom,8,0,0,0,0,0
02/12/2020,AE,United Arab Emirates,8,0,0,0,0,0
02/12/2020,US,United States of America,13,0,0,0,0,0
02/12/2020,VN,Viet0m,15,0,0,0,0,0
2/13/2020,AU,Australia,15,0,0,0,0,0
2/13/2020,BE,Belgium,1,0,0,0,0,0
2/13/2020,KH,Cambodia,1,0,0,0,0,0
2/13/2020,CA,Ca0da,7,0,0,0,0,0
2/13/2020,CN,China,46550,1368,0,1820,254,0
2/13/2020,FI,Finland,1,0,0,0,0,0
2/13/2020,FR,France,11,0,0,0,0,0
2/13/2020,DE,Germany,16,0,0,0,0,0
2/13/2020,IN,India,3,0,0,0,0,0
2/13/2020,Ship,Inter0tio0l conveyance (Japan),174,0,0,-1,0,0
2/13/2020,IT,Italy,3,0,0,0,0,0
2/13/2020,JP,Japan,29,0,0,1,0,0
2/13/2020,MY,Malaysia,18,0,0,0,0,0
2/13/2020,NP,Nepal,1,0,0,0,0,0
2/13/2020,PH,Philippines,3,1,0,0,0,0
2/13/2020,KR,Republic of Korea,28,0,0,0,0,0
2/13/2020,RU,Russian Federation,2,0,0,0,0,0
2/13/2020,SG,Singapore,50,0,0,3,0,0
2/13/2020,ES,Spain,2,0,0,0,0,0
2/13/2020,LK,Sri Lanka,1,0,0,0,0,0
2/13/2020,SE,Sweden,1,0,0,0,0,0
2/13/2020,TH,Thailand,33,0,0,0,0,0
2/13/2020,GB,The United Kingdom,9,0,0,1,0,0
2/13/2020,AE,United Arab Emirates,8,0,0,0,0,0
2/13/2020,US,United States of America,14,0,0,1,0,0
2/13/2020,VN,Viet0m,16,0,0,1,0,0
2/14/2020,AU,Australia,15,0,0,0,0,0
2/14/2020,BE,Belgium,1,0,0,0,0,0
2/14/2020,KH,Cambodia,1,0,0,0,0,0
2/14/2020,CA,Ca0da,7,0,0,0,0,0
2/14/2020,CN,China,48548,1381,0,1998,121,0
2/14/2020,FI,Finland,1,0,0,0,0,0
2/14/2020,FR,France,11,0,0,0,0,0
2/14/2020,DE,Germany,16,0,0,0,0,0
2/14/2020,IN,India,3,0,0,0,0,0
2/14/2020,Ship,Inter0tio0l conveyance (Japan),218,0,0,44,0,0
2/14/2020,IT,Italy,3,0,0,0,0,0
2/14/2020,JP,Japan,33,1,0,4,1,0
2/14/2020,MY,Malaysia,19,0,0,1,0,0
2/14/2020,NP,Nepal,1,0,0,0,0,0
2/14/2020,PH,Philippines,3,1,0,0,0,0
2/14/2020,KR,Republic of Korea,28,0,0,0,0,0
2/14/2020,RU,Russian Federation,2,0,0,0,0,0
2/14/2020,SG,Singapore,58,0,0,8,0,0
2/14/2020,ES,Spain,2,0,0,0,0,0
2/14/2020,LK,Sri Lanka,1,0,0,0,0,0
2/14/2020,SE,Sweden,1,0,0,0,0,0
2/14/2020,TH,Thailand,33,0,0,0,0,0
2/14/2020,GB,The United Kingdom,9,0,0,0,0,0
2/14/2020,AE,United Arab Emirates,8,0,0,0,0,0
2/14/2020,US,United States of America,15,0,0,1,0,0
2/14/2020,VN,Viet0m,16,0,0,0,0,0
2/15/2020,AU,Australia,15,0,0,0,0,0
2/15/2020,BE,Belgium,1,0,0,0,0,0
2/15/2020,KH,Cambodia,1,0,0,0,0,0
2/15/2020,CA,Ca0da,7,0,0,0,0,0
2/15/2020,CN,China,50054,1524,0,1506,143,0
2/15/2020,EG,Egypt,1,0,0,0,0,0
2/15/2020,FI,Finland,1,0,0,0,0,0
2/15/2020,FR,France,11,0,0,0,0,0
2/15/2020,DE,Germany,16,0,0,0,0,0
2/15/2020,IN,India,3,0,0,0,0,0
2/15/2020,Ship,Inter0tio0l conveyance (Japan),218,0,0,0,0,0
2/15/2020,IT,Italy,3,0,0,0,0,0
2/15/2020,JP,Japan,41,1,0,8,0,0
2/15/2020,MY,Malaysia,21,0,0,2,0,0
2/15/2020,NP,Nepal,1,0,0,0,0,0
2/15/2020,PH,Philippines,3,1,0,0,0,0
2/15/2020,KR,Republic of Korea,28,0,0,0,0,0
2/15/2020,RU,Russian Federation,2,0,0,0,0,0
2/15/2020,SG,Singapore,67,0,0,9,0,0
2/15/2020,ES,Spain,2,0,0,0,0,0
2/15/2020,LK,Sri Lanka,1,0,0,0,0,0
2/15/2020,SE,Sweden,1,0,0,0,0,0
2/15/2020,TH,Thailand,34,0,0,1,0,0
2/15/2020,GB,The United Kingdom,9,0,0,0,0,0
